DATE,MYAGM1DEM189S
1957-01-01,32200000000
1957-02-01,32500000000
1957-03-01,32600000000
1957-04-01,33700000000
1957-05-01,33700000000
1957-06-01,33900000000
1957-07-01,34400000000
1957-08-01,34900000000
1957-09-01,35400000000
1957-10-01,35700000000
1957-11-01,35800000000
1957-12-01,36100000000
1958-01-01,36600000000
1958-02-01,37100000000
1958-03-01,37400000000
1958-04-01,37700000000
1958-05-01,37800000000
1958-06-01,38400000000
1958-07-01,38300000000
1958-08-01,38900000000
1958-09-01,39400000000
1958-10-01,39700000000
1958-11-01,40400000000
1958-12-01,40700000000
1959-01-01,41100000000
1959-02-01,41700000000
1959-03-01,42600000000
1959-04-01,43200000000
1959-05-01,43500000000
1959-06-01,43900000000
1959-07-01,44500000000
1959-08-01,44900000000
1959-09-01,45000000000
1959-10-01,45600000000
1959-11-01,45600000000
1959-12-01,45700000000
1960-01-01,46600000000
1960-02-01,46900000000
1960-03-01,47100000000
1960-04-01,47400000000
1960-05-01,47800000000
1960-06-01,47800000000
1960-07-01,48100000000
1960-08-01,48200000000
1960-09-01,48300000000
1960-10-01,48700000000
1960-11-01,48800000000
1960-12-01,48900000000
1961-01-01,49400000000
1961-02-01,49900000000
1961-03-01,50400000000
1961-04-01,50600000000
1961-05-01,51100000000
1961-06-01,52000000000
1961-07-01,52700000000
1961-08-01,53200000000
1961-09-01,53800000000
1961-10-01,54100000000
1961-11-01,54700000000
1961-12-01,56100000000
1962-01-01,55900000000
1962-02-01,55900000000
1962-03-01,56500000000
1962-04-01,57400000000
1962-05-01,57600000000
1962-06-01,57800000000
1962-07-01,58200000000
1962-08-01,58600000000
1962-09-01,59200000000
1962-10-01,59500000000
1962-11-01,60100000000
1962-12-01,60500000000
1963-01-01,60300000000
1963-02-01,60800000000
1963-03-01,60600000000
1963-04-01,60800000000
1963-05-01,61500000000
1963-06-01,62000000000
1963-07-01,62400000000
1963-08-01,63200000000
1963-09-01,63500000000
1963-10-01,63700000000
1963-11-01,64300000000
