DATE,DEUEXPORTQDSNAQ
1991-01-01,108569900000.0
1991-04-01,102250300000.0
1991-07-01,107256300000.0
1991-10-01,107575800000.0
1992-01-01,108622800000.0
1992-04-01,103582100000.0
1992-07-01,106457400000.0
1992-10-01,101665300000.0
1993-01-01,99597500000.0
1993-04-01,97574300000.0
1993-07-01,97964700000.0
1993-10-01,99881400000.0
1994-01-01,102970100000.0
1994-04-01,107974900000.0
1994-07-01,107513400000.0
1994-10-01,108187800000.0
1995-01-01,112305800000.0
1995-04-01,113406200000.0
1995-07-01,114258100000.0
1995-10-01,116103800000.0
1996-01-01,117595100000.0
1996-04-01,118198500000.0
1996-07-01,121251100000.0
1996-10-01,126646300000.0
1997-01-01,128856500000.0
1997-04-01,132867700000.00002
1997-07-01,139967200000.0
1997-10-01,141884100000.0
1998-01-01,145070000000.0
1998-04-01,147448300000.0
1998-07-01,145992900000.0
1998-10-01,143579300000.0
1999-01-01,144431500000.0
1999-04-01,152063100000.0
1999-07-01,155506200000.0
1999-10-01,158771800000.0
2000-01-01,166342000000.0
2000-04-01,172518600000.0
2000-07-01,175535900000.0
2000-10-01,184871800000.0
2001-01-01,184419100000.0
2001-04-01,185235600000.0
2001-07-01,184880600000.0
2001-10-01,187223600000.0
2002-01-01,186425100000.0
2002-04-01,192282000000.0
2002-07-01,195441100000.0
2002-10-01,198990700000.0
2003-01-01,193063000000.0
2003-04-01,192495100000.0
2003-07-01,198351900000.0
2003-10-01,203108400000.0
2004-01-01,211885500000.0
2004-04-01,221043900000.0
2004-07-01,217387600000.0
2004-10-01,218417000000.0
2005-01-01,223998700000.0
2005-04-01,227761600000.0
2005-07-01,237026800000.0
2005-10-01,240860800000.0
2006-01-01,249043100000.0
2006-04-01,256461800000.0
2006-07-01,263987099999.99997
2006-10-01,279428000000.0
2007-01-01,277777700000.0
2007-04-01,284593500000.0
2007-07-01,290308800000.0
2007-10-01,293184200000.0
2008-01-01,296369900000.0
2008-04-01,295163000000.0
2008-07-01,292642600000.0
2008-10-01,276278200000.0
2009-01-01,244463600000.0
2009-04-01,242369300000.0
2009-07-01,250391500000.0
2009-10-01,257632700000.0
2010-01-01,265735400000.00003
2010-04-01,284549200000.0
2010-07-01,289021900000.0
2010-10-01,295198500000.0
2011-01-01,303291900000.0
2011-04-01,307551600000.0
2011-07-01,310817400000.0
2011-10-01,309575000000.0
2012-01-01,316186300000.0
2012-04-01,318955300000.0
2012-07-01,322753600000.0
2012-10-01,317286800000.0
2013-01-01,317242500000.0
2013-04-01,318768900000.0
2013-07-01,324306500000.0
2013-10-01,329915100000.0
2014-01-01,330802600000.0
2014-04-01,333535900000.0
2014-07-01,340067500000.0
2014-10-01,346315100000.0
2015-01-01,349598400000.0
2015-04-01,356130300000.0
2015-07-01,356343300000.0
2015-10-01,354497300000.0
2016-01-01,358748000000.0
2016-04-01,363007900000.0
2016-07-01,362546400000.0
2016-10-01,364711800000.0
2017-01-01,374172000000.0
2017-04-01,380739000000.0
2017-07-01,385247100000.0
2017-10-01,389364700000.0
2018-01-01,392675000000.0
2018-04-01,393704400000.0
2018-07-01,390225700000.0
2018-10-01,389622200000.0
2019-01-01,400671000000.0
2019-04-01,394565200000.0
2019-07-01,398186000000.0
2019-10-01,392932300000.0
2020-01-01,386178900000.0
2020-04-01,306912700000.0
2020-07-01,360230200000.0
2020-10-01,373541800000.0
2021-01-01,386223200000.0
2021-04-01,390341000000.0
2021-07-01,387572200000.0
2021-10-01,398789700000.0
2022-01-01,397680200000.0
2022-04-01,400307000000.0
2022-07-01,407903500000.0
2022-10-01,403998800000.0
